,competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo,Descrição
2351401,202207,3,35,355030,J,6201501,1,212415,101,9,35.0,40.0,1,1,0,1,97,0,0,0,5000.0,5,0,1,202207,0,5,5000.0,Analista de Sistemas de Automacao
2351413,202207,3,35,355030,J,6204000,1,212415,101,9,34.0,40.0,4,1,0,1,97,0,0,0,8600.0,10,0,1,202207,0,5,8600.0,Analista de Sistemas de Automacao
2351418,202207,3,35,355030,J,6201501,-1,212415,101,8,40.0,40.0,3,1,0,1,40,0,0,0,5153.59,7,0,1,202207,0,5,5153.59,Analista de Sistemas de Automacao
2351427,202207,3,35,355030,G,4642701,1,212415,101,7,23.0,44.0,6,3,0,1,97,0,0,0,3000.0,3,0,1,202207,0,5,3000.0,Analista de Sistemas de Automacao
2351448,202207,3,35,355030,J,6201501,1,212415,101,9,31.0,40.0,1,1,0,1,97,0,0,0,7500.0,9,0,1,202207,0,5,7500.0,Analista de Sistemas de Automacao
2351452,202207,3,35,355030,M,7020400,1,212415,101,9,22.0,44.0,1,3,0,1,97,0,0,0,4850.0,2,0,1,202207,0,5,4850.0,Analista de Sistemas de Automacao
2351461,202207,3,35,355030,M,7490104,-1,212415,101,8,36.0,44.0,1,1,0,1,40,0,0,0,9000.0,9,0,1,202207,0,5,9000.0,Analista de Sistemas de Automacao
2351465,202207,3,35,355030,S,9511800,1,212415,101,9,40.0,44.0,1,3,0,1,97,0,0,0,2750.0,2,0,1,202207,0,5,2750.0,Analista de Sistemas de Automacao
2351476,202207,3,35,355030,J,6201501,-1,212415,101,8,33.0,40.0,3,3,0,1,40,0,0,0,5000.0,7,0,1,202207,0,5,5000.0,Analista de Sistemas de Automacao
2351478,202207,3,35,355030,J,6201501,-1,212415,101,9,23.0,40.0,1,1,0,1,40,0,0,0,6500.0,5,0,1,202207,0,5,6500.0,Analista de Sistemas de Automacao
2351486,202207,3,35,355030,J,6201501,1,212415,101,9,25.0,40.0,1,1,0,1,97,0,0,0,3830.0,9,0,1,202207,0,5,3830.0,Analista de Sistemas de Automacao
2351489,202207,3,35,355030,J,6201501,-1,212415,101,9,22.0,40.0,3,1,0,1,31,0,0,0,2233.16,7,0,1,202207,0,5,2233.16,Analista de Sistemas de Automacao
2351504,202207,3,35,355030,M,7020400,-1,212415,101,9,35.0,40.0,1,1,0,1,40,0,0,0,7052.5,10,0,1,202207,0,5,7052.5,Analista de Sistemas de Automacao
2351505,202207,3,35,355030,J,6201501,-1,212415,101,9,28.0,40.0,1,1,0,1,31,0,0,0,2154.14,8,0,1,202207,0,5,2154.14,Analista de Sistemas de Automacao
2351507,202207,3,35,355030,N,8211300,-1,212415,101,9,40.0,44.0,6,1,0,1,43,0,0,0,5000.0,6,0,1,202207,0,5,5000.0,Analista de Sistemas de Automacao
2351511,202207,3,35,355030,M,7112000,-1,212415,101,9,30.0,44.0,6,1,0,1,40,0,0,0,6000.0,5,0,1,202207,0,5,6000.0,Analista de Sistemas de Automacao
2351516,202207,3,35,355030,J,6202300,-1,212415,101,9,22.0,22.0,6,1,0,1,40,0,0,0,4086.06,3,0,1,202207,0,5,4086.06,Analista de Sistemas de Automacao
2351517,202207,3,35,355030,J,6209100,-1,212415,101,80,65.0,40.0,1,1,0,1,40,0,0,0,8000.0,9,0,1,202207,0,5,8000.0,Analista de Sistemas de Automacao
2351519,202207,3,35,355030,N,8291100,-1,212415,101,9,38.0,40.0,1,1,0,1,40,0,0,0,22239.41,7,0,1,202207,0,5,22239.41,Analista de Sistemas de Automacao
2351537,202207,3,35,355030,J,6201501,1,212415,101,9,22.0,40.0,3,1,0,1,97,0,0,0,4681.24,7,0,1,202207,0,5,4681.24,Analista de Sistemas de Automacao
2351538,202207,3,35,355030,J,6202300,-1,212415,101,9,31.0,40.0,6,1,0,1,40,0,0,0,3559.15,7,0,1,202207,0,5,3559.15,Analista de Sistemas de Automacao
2351541,202207,3,35,355030,N,8211300,1,212415,101,80,32.0,42.0,1,1,0,1,97,0,0,0,8000.0,9,0,1,202207,0,5,8000.0,Analista de Sistemas de Automacao
2351544,202207,3,35,355030,J,6201501,-1,212415,101,9,24.0,44.0,1,3,0,1,31,0,0,0,1675.0,5,0,1,202207,0,5,1675.0,Analista de Sistemas de Automacao
